Open,High,Low,Close,Adj Close,Volume,Date
86.12999725341797,86.30999755859375,85.5,85.94999694824219,81.53022766113281,22483800,2018-01-02
86.05999755859375,86.51000213623047,85.97000122070312,86.3499984741211,81.90966033935547,26061400,2018-01-03
86.58999633789062,87.66000366210938,86.56999969482422,87.11000061035156,82.6305923461914,21912000,2018-01-04
87.66000366210938,88.41000366210938,87.43000030517578,88.19000244140625,83.655029296875,23407100,2018-01-05
88.19999694824219,88.58000183105469,87.5999984741211,88.27999877929688,83.74040985107422,22113000,2018-01-08
88.6500015258789,88.7300033569336,87.86000061035156,88.22000122070312,83.68350219726562,19484300,2018-01-09
87.86000061035156,88.19000244140625,87.41000366210938,87.81999969482422,83.3040771484375,18652200,2018-01-10
88.12999725341797,88.12999725341797,87.23999786376953,88.08000183105469,83.55071258544922,17808900,2018-01-11
88.66999816894531,89.77999877929688,88.44999694824219,89.5999984741211,84.9925537109375,24271500,2018-01-12
90.0999984741211,90.79000091552734,88.01000213623047,88.3499984741211,83.80680847167969,36599700,2018-01-16
89.08000183105469,90.27999877929688,88.75,90.13999938964844,85.5047607421875,25621200,2018-01-17
89.80000305175781,90.66999816894531,89.66000366210938,90.0999984741211,85.46681213378906,24159700,2018-01-18
90.13999938964844,90.61000061035156,89.66000366210938,90.0,85.37198638916016,36875000,2018-01-19
90.0,91.62000274658203,89.73999786376953,91.61000061035156,86.8991928100586,23601600,2018-01-22
91.9000015258789,92.30000305175781,91.54000091552734,91.9000015258789,87.17427825927734,23412800,2018-01-23
92.55000305175781,93.43000030517578,91.58000183105469,91.81999969482422,87.09838104248047,33277500,2018-01-24
92.47000122070312,93.23999786376953,91.93000030517578,92.33000183105469,87.58216857910156,26383200,2018-01-25
93.12000274658203,94.05999755859375,92.58000183105469,94.05999755859375,89.22318267822266,29172200,2018-01-26
95.13999938964844,95.44999694824219,93.72000122070312,93.91999816894531,89.09038543701172,31569900,2018-01-29
93.30000305175781,93.66000366210938,92.0999984741211,92.73999786376953,87.97105407714844,38635100,2018-01-30
93.75,95.4000015258789,93.51000213623047,95.01000213623047,90.12433624267578,48756300,2018-01-31
94.79000091552734,96.06999969482422,93.58000183105469,94.26000213623047,89.41291046142578,47227900,2018-02-01
93.63999938964844,93.97000122070312,91.5,91.77999877929688,87.0604476928711,47867800,2018-02-02
90.55999755859375,93.23999786376953,88.0,88.0,83.47482299804688,51031500,2018-02-05
86.88999938964844,91.4800033569336,85.25,91.33000183105469,86.63358306884766,67998600,2018-02-06
